,job_id,job_title,company_size,company_industry,country,remote_type,experience_levels,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
32,33,AI Engineer,MNC,Healthcare,India,Remote,3,13,Bachelor,1,0,0,1,1,182849.0,4,2026,Medium,6
33,34,Machine Learning Engineer,Medium,Retail,India,Remote,1,3,Bachelor,1,1,1,0,1,119087.0,11,2023,Low,1
34,35,AI Engineer,Medium,Retail,Germany,Remote,1,2,Bachelor,0,0,1,0,0,103913.0,11,2023,Low,1
35,36,Business Analyst,Startup,Technology,Singapore,Hybrid,2,2,Bachelor,1,0,0,0,1,86748.0,10,2021,High,8
36,37,Machine Learning Engineer,Medium,Healthcare,UK,Remote,3,4,Master,1,0,0,0,1,145728.0,5,2024,Low,4
37,38,Data Scientist,MNC,Healthcare,Canada,Remote,3,2,Bachelor,1,1,1,0,0,136806.0,5,2023,High,8
38,39,Data Scientist,Enterprise,E-commerce,Singapore,Remote,3,13,Bachelor,0,0,1,1,1,136365.0,11,2022,High,9
39,40,Data Scientist,MNC,Technology,Canada,Remote,3,6,Bachelor,1,1,0,1,1,145486.0,5,2024,Low,3
40,41,Data Analyst,MNC,Finance,Germany,Onsite,1,6,Bachelor,1,0,0,0,0,71541.0,10,2024,High,7
41,42,Data Analyst,Enterprise,E-commerce,UK,Onsite,2,11,PhD,0,1,1,1,0,101542.0,8,2021,High,6
42,43,Data Scientist,Medium,Retail,India,Hybrid,1,4,Bachelor,1,0,1,1,0,76365.0,4,2020,High,1
43,44,Data Scientist,Startup,Technology,Germany,Hybrid,3,12,PhD,1,1,0,0,1,109268.0,2,2023,Medium,3
44,45,Data Engineer,Medium,Technology,Germany,Remote,3,6,Bachelor,0,0,0,1,1,121214.0,12,2020,High,9
45,46,Data Scientist,MNC,Finance,Australia,Remote,2,11,Master,0,1,0,0,0,94175.0,6,2024,Medium,5
46,47,Data Analyst,MNC,E-commerce,Germany,Onsite,3,1,Bachelor,0,0,0,1,0,139588.0,6,2025,Low,1
47,48,Data Analyst,MNC,Finance,UK,Hybrid,2,7,Bachelor,1,1,1,1,1,130539.0,12,2024,High,2
48,49,Data Scientist,MNC,Retail,Australia,Onsite,1,0,Bachelor,0,1,0,1,1,93324.0,6,2021,Low,3
49,50,Data Analyst,MNC,E-commerce,Singapore,Remote,2,7,Master,1,1,0,0,0,91015.0,1,2025,High,7
50,51,Data Scientist,Medium,Finance,UK,Remote,2,8,PhD,1,0,0,0,0,71633.0,9,2022,Medium,1
51,52,Data Scientist,Startup,Education,Germany,Remote,1,4,PhD,1,0,0,0,0,49809.0,10,2022,Low,5
52,53,Data Scientist,Startup,Education,USA,Hybrid,1,12,PhD,0,1,1,0,0,63419.0,8,2026,High,8
53,54,Machine Learning Engineer,Medium,Healthcare,Australia,Hybrid,3,1,PhD,1,0,1,1,0,171544.0,7,2026,High,9
54,55,Business Analyst,Startup,Education,India,Onsite,3,5,PhD,1,1,1,1,1,143017.0,11,2022,High,2
55,56,Machine Learning Engineer,MNC,Finance,Australia,Remote,3,6,Master,1,0,0,0,0,155137.0,8,2020,Low,4
56,57,Machine Learning Engineer,Startup,Technology,Germany,Remote,2,4,Master,1,0,1,0,0,131254.0,9,2026,Low,3
57,58,Data Analyst,Medium,Technology,Germany,Remote,3,10,PhD,0,1,1,0,1,127570.0,5,2024,Medium,3
58,59,Machine Learning Engineer,MNC,Healthcare,Canada,Hybrid,1,0,Master,0,0,1,1,1,154945.0,11,2020,High,2
59,60,Machine Learning Engineer,Startup,Finance,Australia,Onsite,2,14,PhD,1,0,0,1,1,136276.0,4,2026,Medium,1
60,61,Data Engineer,Medium,Healthcare,Germany,Onsite,2,12,Master,1,1,0,1,0,90122.0,7,2025,High,7
61,62,Data Analyst,Enterprise,Technology,Canada,Hybrid,2,2,Master,0,0,1,0,0,93905.0,7,2020,Low,5
62,63,Data Scientist,Enterprise,Education,India,Hybrid,1,12,Bachelor,1,0,1,1,0,84361.0,4,2026,High,9
63,64,Data Engineer,Medium,Finance,Germany,Onsite,2,4,Bachelor,1,1,1,1,1,110876.0,6,2024,High,8
64,65,Data Scientist,Startup,E-commerce,Australia,Remote,2,6,Master,1,1,1,0,1,104352.0,7,2022,High,8
65,66,Data Analyst,Enterprise,E-commerce,Germany,Onsite,2,3,Master,1,0,1,0,1,97551.0,6,2022,Low,6
66,67,Data Engineer,Startup,Healthcare,Singapore,Onsite,2,12,PhD,1,0,1,1,1,118915.0,1,2023,High,4
67,68,Data Scientist,MNC,Finance,India,Hybrid,2,13,Bachelor,0,0,1,0,0,108744.0,6,2021,Medium,3
68,69,Machine Learning Engineer,Startup,Healthcare,Germany,Hybrid,1,3,Master,0,0,0,0,0,86994.0,8,2025,High,9
69,70,Data Analyst,Medium,Finance,Canada,Hybrid,2,4,Master,1,0,0,1,1,104762.0,1,2025,Low,3
70,71,AI Engineer,MNC,E-commerce,UK,Remote,1,11,Master,1,0,0,0,0,112546.0,10,2025,Medium,3
71,72,AI Engineer,Startup,E-commerce,India,Remote,2,7,PhD,1,1,0,0,1,125142.0,1,2020,Low,1
72,73,Data Scientist,Startup,Healthcare,Australia,Remote,3,2,PhD,1,1,0,0,0,100567.0,4,2026,High,8
73,74,Business Analyst,Startup,Technology,Australia,Onsite,3,5,Bachelor,0,0,0,0,0,97336.0,4,2025,High,7
74,75,Machine Learning Engineer,Medium,E-commerce,UK,Hybrid,1,5,Master,0,0,0,1,0,107863.0,8,2024,High,8
75,76,Business Analyst,Enterprise,Technology,Germany,Remote,2,14,PhD,0,0,1,1,1,115779.0,11,2025,High,5
76,77,Machine Learning Engineer,MNC,Education,Australia,Onsite,3,13,Master,0,1,1,0,1,180984.0,1,2026,Medium,2
77,78,AI Engineer,Enterprise,Technology,Germany,Remote,1,9,PhD,0,1,0,1,0,104146.0,8,2020,Medium,6
78,79,Data Engineer,Enterprise,Finance,Australia,Remote,1,13,Master,1,1,0,0,0,49662.0,3,2026,Medium,6
79,80,Business Analyst,Enterprise,Finance,Canada,Remote,2,4,Bachelor,1,0,0,0,1,81625.0,11,2025,High,9
80,81,Machine Learning Engineer,Enterprise,Healthcare,UK,Hybrid,3,10,Bachelor,0,1,0,0,1,146990.0,4,2025,High,8
81,82,Business Analyst,MNC,Finance,USA,Remote,3,5,PhD,1,1,1,0,0,134944.0,4,2020,High,7
82,83,Data Scientist,MNC,Education,Australia,Onsite,1,6,Bachelor,0,1,0,1,0,88058.0,8,2022,Low,3
83,84,Data Engineer,MNC,Education,Canada,Remote,1,13,Bachelor,1,1,0,1,0,86645.0,12,2020,Medium,3
84,85,Machine Learning Engineer,Medium,Education,UK,Onsite,1,6,Bachelor,0,0,1,1,1,131305.0,12,2020,High,3
85,86,AI Engineer,MNC,Healthcare,Singapore,Remote,1,6,Bachelor,0,1,0,0,0,112221.0,9,2026,High,8
86,87,Business Analyst,Enterprise,Retail,USA,Onsite,2,7,PhD,1,1,1,1,0,105619.0,5,2025,High,4
87,88,Business Analyst,Medium,Healthcare,Singapore,Hybrid,3,6,Bachelor,0,0,1,0,0,111308.0,12,2021,Low,4
88,89,Machine Learning Engineer,Startup,E-commerce,Germany,Onsite,2,1,PhD,0,0,0,1,1,135804.0,6,2025,Low,5
89,90,Data Scientist,Medium,E-commerce,Germany,Onsite,2,11,Master,1,0,1,1,1,114223.0,1,2021,High,7
90,91,Data Analyst,Startup,Education,USA,Hybrid,1,6,Bachelor,0,1,1,0,1,76809.0,10,2024,Low,4
91,92,Business Analyst,Medium,E-commerce,UK,Hybrid,2,9,Bachelor,1,0,1,1,0,107141.0,10,2023,High,5
92,93,Business Analyst,Medium,Education,Canada,Onsite,1,5,PhD,0,1,1,1,0,83646.0,10,2024,High,9
93,94,Data Scientist,Medium,E-commerce,Germany,Hybrid,2,1,Master,1,1,0,0,0,75490.0,10,2024,Low,5
94,95,Business Analyst,Enterprise,Retail,Germany,Remote,3,7,PhD,0,1,1,0,0,114853.0,6,2024,High,8
95,96,Data Scientist,Medium,Technology,Singapore,Onsite,3,0,PhD,1,0,0,0,1,105153.0,2,2024,High,9
96,97,Data Scientist,Startup,Finance,USA,Remote,1,7,PhD,1,0,0,0,0,46252.0,12,2023,Low,2
97,98,Data Analyst,Medium,Education,India,Onsite,1,10,PhD,0,0,0,1,0,67982.0,12,2025,High,7
98,99,Data Analyst,MNC,E-commerce,USA,Onsite,1,5,Master,1,0,1,0,1,98044.0,10,2026,High,9
99,100,Machine Learning Engineer,MNC,Finance,Singapore,Hybrid,1,9,Master,0,1,0,0,0,113007.0,2,2022,High,9
100,101,Business Analyst,Medium,Education,Germany,Onsite,3,10,Master,1,0,0,1,0,117138.0,12,2023,High,8
101,102,Business Analyst,Medium,Retail,Canada,Onsite,2,6,PhD,1,0,0,1,0,90468.0,6,2020,Low,4
102,103,Business Analyst,Medium,Finance,Canada,Hybrid,2,6,Master,0,1,1,1,0,109996.0,2,2022,High,7
103,104,Data Analyst,Enterprise,Education,Germany,Remote,2,12,Bachelor,1,0,1,0,1,96771.0,9,2021,High,8
104,105,Data Engineer,Startup,Technology,Canada,Remote,2,2,Bachelor,0,1,1,1,1,110145.0,5,2020,High,4
105,106,Data Scientist,Startup,Education,Singapore,Remote,3,8,Bachelor,1,1,1,0,1,129130.0,12,2025,Medium,5
106,107,Data Engineer,MNC,Retail,Australia,Remote,2,6,Bachelor,1,1,0,1,1,124076.0,3,2024,Low,6
107,108,Data Engineer,Medium,Retail,India,Remote,2,0,Bachelor,1,0,1,1,0,108245.0,7,2020,High,5
108,109,Data Scientist,Enterprise,Technology,India,Remote,1,9,PhD,0,1,1,1,0,83194.0,3,2025,High,8
109,110,Business Analyst,MNC,E-commerce,Singapore,Remote,1,4,Master,1,0,0,1,0,81218.0,9,2021,High,9
110,111,AI Engineer,Medium,Finance,Singapore,Remote,1,10,PhD,1,1,1,0,1,115370.0,5,2021,High,8
111,112,Machine Learning Engineer,Medium,E-commerce,Germany,Remote,1,0,Bachelor,1,1,0,1,1,112745.0,3,2021,Low,3
112,113,Data Analyst,Startup,E-commerce,USA,Hybrid,3,10,Bachelor,0,1,0,0,0,104908.0,10,2023,High,9
113,114,Data Analyst,Medium,Technology,Singapore,Remote,3,9,Bachelor,0,0,0,0,1,108741.0,7,2026,Medium,5
114,115,Machine Learning Engineer,MNC,Healthcare,Australia,Remote,1,1,PhD,1,0,1,0,0,122064.0,8,2026,High,9
115,116,Machine Learning Engineer,MNC,E-commerce,UK,Hybrid,3,6,Master,1,0,1,1,0,190084.0,6,2023,High,5
116,117,AI Engineer,MNC,Technology,India,Onsite,1,0,Master,1,1,0,1,1,136353.0,2,2025,High,8
117,118,Business Analyst,MNC,Technology,UK,Onsite,1,12,PhD,0,0,1,0,0,89645.0,2,2024,Medium,3
118,119,AI Engineer,Startup,Retail,Canada,Remote,3,6,PhD,0,0,0,1,1,163155.0,6,2022,Low,2
119,120,Data Analyst,Enterprise,Finance,Australia,Remote,1,4,PhD,0,1,1,0,0,65626.0,1,2021,Low,5
120,121,AI Engineer,Medium,Healthcare,Canada,Onsite,1,7,Bachelor,1,1,0,1,1,115179.0,9,2020,High,8
121,122,Business Analyst,Startup,Retail,Australia,Hybrid,3,12,PhD,1,1,0,1,1,127725.0,9,2025,Medium,3
122,123,Data Engineer,Enterprise,Finance,Australia,Remote,2,11,Bachelor,0,1,1,0,0,90463.0,8,2022,Medium,2
123,124,Business Analyst,Startup,E-commerce,India,Hybrid,2,14,Master,0,1,1,0,0,87043.0,6,2020,High,9
124,125,Data Analyst,Medium,Retail,USA,Remote,1,14,Master,1,1,1,1,1,93905.0,8,2021,High,1
125,126,AI Engineer,Startup,Healthcare,USA,Remote,1,13,Bachelor,0,0,1,1,1,132014.0,10,2025,High,7
126,127,Machine Learning Engineer,Medium,Healthcare,India,Onsite,1,12,PhD,0,0,1,0,1,119631.0,9,2021,High,9
127,128,AI Engineer,MNC,Healthcare,Germany,Hybrid,2,10,PhD,0,0,0,1,1,155021.0,10,2026,Medium,4
128,129,Data Analyst,Enterprise,Finance,Germany,Hybrid,2,1,PhD,1,1,0,1,0,86266.0,10,2022,High,9
129,130,Data Engineer,MNC,E-commerce,Canada,Onsite,1,2,PhD,1,1,1,1,0,99644.0,8,2020,High,6
130,131,Data Analyst,Enterprise,Technology,India,Onsite,3,12,Bachelor,1,0,0,0,0,102005.0,5,2026,Medium,1
131,132,Machine Learning Engineer,Startup,Technology,Canada,Hybrid,2,2,Bachelor,1,0,1,1,0,145631.0,4,2021,High,2
132,133,Machine Learning Engineer,MNC,Education,Singapore,Hybrid,3,9,PhD,1,0,1,0,0,172958.0,1,2022,Medium,2
133,134,Machine Learning Engineer,MNC,Technology,Australia,Onsite,2,13,Master,1,0,0,0,1,142365.0,6,2023,High,9
134,135,Business Analyst,Enterprise,Education,Singapore,Remote,2,5,PhD,0,0,0,0,1,89444.0,5,2026,Low,2
135,136,Data Scientist,MNC,Technology,Germany,Remote,3,14,PhD,0,1,0,1,1,149472.0,5,2023,High,9
136,137,Data Analyst,MNC,Finance,USA,Hybrid,1,4,PhD,0,0,1,0,0,89847.0,12,2023,Low,1
137,138,Data Engineer,MNC,Retail,Canada,Hybrid,2,8,Master,0,0,1,1,0,126262.0,3,2025,High,1
138,139,Business Analyst,Startup,Retail,Canada,Remote,1,13,PhD,1,1,1,0,1,75370.0,11,2025,High,8
139,140,Machine Learning Engineer,Startup,Healthcare,Canada,Remote,3,7,PhD,0,0,1,0,1,166294.0,4,2021,Low,6
140,141,Machine Learning Engineer,MNC,Healthcare,Canada,Remote,3,5,Bachelor,0,0,1,0,1,185238.0,10,2022,Low,1
141,142,Machine Learning Engineer,Medium,Healthcare,India,Remote,2,7,PhD,0,1,0,1,0,128072.0,3,2026,Low,4
142,143,Data Engineer,Startup,E-commerce,USA,Hybrid,2,1,Master,1,1,0,0,0,75208.0,9,2024,High,9
143,144,Business Analyst,Enterprise,Finance,UK,Hybrid,1,13,Master,1,1,0,1,1,71000.0,7,2022,Medium,2
144,145,Business Analyst,Enterprise,Finance,Australia,Hybrid,3,4,Bachelor,0,0,1,1,0,127875.0,9,2020,High,5
145,146,Data Scientist,MNC,Finance,UK,Hybrid,2,2,PhD,1,1,1,1,1,139218.0,5,2021,High,9
146,147,Machine Learning Engineer,Medium,Technology,Canada,Remote,2,11,Bachelor,0,1,1,0,0,133234.0,7,2025,Medium,4
147,148,Data Engineer,Medium,Technology,UK,Onsite,1,6,Bachelor,0,0,1,0,0,68906.0,3,2026,High,9
148,149,AI Engineer,Startup,E-commerce,Australia,Onsite,2,12,Master,1,1,0,1,1,142311.0,10,2023,Medium,3
149,150,Data Engineer,Medium,Healthcare,USA,Remote,2,13,Bachelor,0,0,0,1,1,102052.0,7,2026,High,7
150,151,Data Scientist,Medium,E-commerce,India,Hybrid,3,0,Master,1,1,0,1,0,117285.0,5,2025,High,7
151,152,AI Engineer,Startup,Healthcare,USA,Onsite,2,8,Master,0,1,1,1,1,153225.0,11,2024,High,1
152,153,AI Engineer,Medium,Retail,Germany,Onsite,2,1,Bachelor,0,1,1,0,0,134776.0,3,2023,Low,2
153,154,Machine Learning Engineer,Startup,E-commerce,USA,Hybrid,1,2,PhD,1,0,1,0,1,111100.0,9,2025,High,9
154,155,Data Scientist,Medium,Retail,Singapore,Remote,2,9,PhD,1,0,0,0,0,72349.0,3,2023,High,7
155,156,Machine Learning Engineer,Medium,Healthcare,Singapore,Remote,2,0,Bachelor,1,0,0,1,0,127472.0,7,2023,Low,6
156,157,Business Analyst,Startup,Technology,India,Remote,3,7,Bachelor,1,1,1,0,1,128533.0,6,2021,Low,3
157,158,AI Engineer,Medium,Education,USA,Onsite,2,13,PhD,1,1,1,1,1,153374.0,9,2026,High,4
158,159,Machine Learning Engineer,Medium,Education,USA,Onsite,1,13,PhD,0,0,1,0,1,119732.0,4,2023,Medium,6
159,160,Data Scientist,Startup,Education,Canada,Hybrid,2,7,Master,0,1,0,0,1,89715.0,2,2024,Low,6
160,161,Data Engineer,MNC,Finance,Singapore,Hybrid,1,8,Master,0,1,0,0,0,70962.0,3,2023,Medium,1
161,162,Data Engineer,Enterprise,Healthcare,Germany,Hybrid,3,2,Master,1,0,0,1,1,128435.0,10,2023,Low,5
162,163,Data Scientist,Medium,Education,India,Remote,3,7,Master,1,1,1,1,0,132693.0,9,2026,High,7
163,164,Business Analyst,Enterprise,Healthcare,UK,Hybrid,3,13,Master,1,1,1,1,0,133984.0,6,2020,High,2
164,165,AI Engineer,Enterprise,Education,USA,Hybrid,2,12,Master,1,0,0,0,1,125772.0,5,2021,High,9
165,166,Business Analyst,Medium,Technology,USA,Onsite,1,14,Bachelor,1,1,1,0,1,72719.0,11,2025,Medium,6
166,167,Machine Learning Engineer,MNC,Retail,Singapore,Onsite,1,1,PhD,1,0,1,1,0,140175.0,9,2026,High,2
167,168,Data Analyst,Startup,Retail,Canada,Remote,2,2,Master,0,1,1,1,0,101638.0,8,2020,High,4
168,169,Business Analyst,Enterprise,Technology,Germany,Remote,2,1,PhD,0,0,1,0,1,96549.0,7,2024,Low,3
169,170,Business Analyst,Medium,E-commerce,Australia,Onsite,2,10,Master,0,1,1,0,0,92993.0,8,2026,High,7
170,171,Business Analyst,Startup,E-commerce,Canada,Hybrid,2,4,Bachelor,0,1,0,0,1,88656.0,3,2020,Low,4
171,172,AI Engineer,Enterprise,E-commerce,Germany,Onsite,1,13,Master,1,1,1,1,1,129839.0,3,2020,High,2
172,173,Business Analyst,MNC,E-commerce,Australia,Hybrid,1,12,Master,0,0,1,0,1,98616.0,1,2021,High,9
173,174,AI Engineer,MNC,E-commerce,USA,Hybrid,2,11,Master,1,0,1,0,0,145775.0,11,2025,Medium,2
174,175,Data Scientist,Enterprise,Finance,Germany,Onsite,1,4,PhD,1,1,0,0,0,49940.0,8,2020,High,8
175,176,Data Analyst,Startup,E-commerce,UK,Onsite,1,3,Bachelor,0,1,1,0,1,79866.0,4,2026,Low,4
176,177,Data Analyst,Enterprise,Retail,Germany,Onsite,3,4,Master,0,1,1,1,1,141511.0,12,2020,High,6
177,178,Data Scientist,Startup,Healthcare,Singapore,Hybrid,3,3,Bachelor,1,1,1,0,0,118569.0,7,2025,High,9
178,179,Machine Learning Engineer,Medium,E-commerce,Germany,Onsite,2,12,Master,0,1,0,1,1,143714.0,10,2026,Medium,2
179,180,Data Scientist,MNC,Healthcare,Singapore,Remote,1,13,PhD,1,1,0,1,1,92461.0,4,2024,Medium,4
180,181,AI Engineer,MNC,Retail,Australia,Remote,1,9,PhD,1,1,0,0,0,112697.0,5,2024,High,9
181,182,Data Engineer,Startup,Education,Australia,Hybrid,3,11,PhD,1,0,1,1,1,142003.0,2,2021,High,9
182,183,Business Analyst,Startup,Technology,UK,Hybrid,3,2,PhD,0,1,1,0,1,121724.0,1,2022,Low,5
183,184,Data Engineer,Enterprise,E-commerce,Australia,Onsite,3,4,Bachelor,0,1,1,1,1,141272.0,12,2024,High,8
184,185,Data Analyst,Startup,Technology,UK,Hybrid,2,8,PhD,1,0,1,1,0,102159.0,9,2023,High,2
185,186,AI Engineer,Medium,Healthcare,India,Hybrid,2,13,Bachelor,1,0,1,0,0,127634.0,3,2026,Medium,4
186,187,Data Engineer,MNC,Retail,Canada,Hybrid,3,3,Bachelor,1,1,1,1,0,152909.0,5,2025,High,5
187,188,Business Analyst,Medium,Education,Australia,Remote,1,6,Bachelor,0,1,0,1,0,64431.0,10,2026,High,8
188,189,AI Engineer,MNC,Education,India,Hybrid,2,14,PhD,1,1,0,0,0,130663.0,12,2025,Medium,3
189,190,Machine Learning Engineer,Medium,E-commerce,Singapore,Onsite,1,6,Master,0,0,0,1,0,101136.0,11,2023,Low,4
190,191,Data Analyst,Enterprise,Retail,USA,Hybrid,1,0,Bachelor,1,1,1,1,0,77125.0,12,2022,High,6
191,192,Data Scientist,Medium,E-commerce,USA,Remote,2,2,Master,0,0,0,1,1,97757.0,1,2022,Low,6
192,193,Business Analyst,Enterprise,E-commerce,UK,Hybrid,3,9,Master,0,0,0,1,0,112096.0,5,2021,Medium,4
193,194,Business Analyst,MNC,Education,India,Hybrid,3,1,PhD,0,0,1,0,1,140685.0,12,2023,Low,6
194,195,AI Engineer,Startup,Technology,USA,Remote,2,13,Master,1,1,0,0,0,110905.0,6,2026,High,8
195,196,Machine Learning Engineer,Startup,E-commerce,Australia,Remote,1,3,PhD,1,1,0,0,0,85689.0,1,2022,Low,4
196,197,Data Engineer,Enterprise,Healthcare,UK,Onsite,3,9,Bachelor,1,1,1,1,1,139260.0,10,2024,High,9
197,198,Machine Learning Engineer,Startup,Retail,Singapore,Hybrid,1,2,Bachelor,0,0,0,1,1,116588.0,9,2020,High,9
198,199,Machine Learning Engineer,Startup,Technology,Singapore,Hybrid,1,5,PhD,0,0,0,1,0,106171.0,10,2022,Low,2
199,200,Data Scientist,Enterprise,Education,USA,Remote,2,13,Master,1,1,0,1,0,86537.0,6,2020,Medium,5
200,201,Machine Learning Engineer,Medium,Healthcare,UK,Remote,3,11,Master,1,0,1,1,1,176727.0,3,2026,High,3
201,202,Data Scientist,MNC,E-commerce,Germany,Hybrid,3,3,Master,1,0,1,1,0,145781.0,11,2024,High,6
202,203,Data Scientist,MNC,Healthcare,Germany,Hybrid,1,1,PhD,0,1,1,0,1,91577.0,4,2022,Low,1
203,204,Data Engineer,Enterprise,Technology,Singapore,Remote,3,10,Master,0,0,0,0,1,113087.0,12,2023,High,8
204,205,Data Scientist,MNC,E-commerce,Canada,Onsite,1,14,PhD,1,1,1,1,1,108525.0,12,2021,High,4
205,206,Data Analyst,Startup,Retail,UK,Hybrid,3,0,Master,1,0,0,1,1,120687.0,11,2024,Low,5
206,207,AI Engineer,Medium,Education,Australia,Hybrid,3,11,Bachelor,0,1,0,1,0,155108.0,5,2025,High,7
207,208,Business Analyst,Medium,Technology,Germany,Hybrid,2,10,PhD,0,1,0,0,0,73864.0,4,2021,Medium,3
208,209,Machine Learning Engineer,Medium,Education,Canada,Onsite,1,8,Bachelor,1,1,1,1,0,120569.0,12,2023,High,9
209,210,Data Scientist,Startup,Healthcare,Australia,Onsite,2,4,Master,1,1,1,1,0,109890.0,4,2021,High,5
210,211,Data Scientist,Enterprise,Healthcare,India,Onsite,1,5,PhD,0,0,1,0,1,78915.0,2,2021,Low,3
211,212,Data Analyst,MNC,Technology,Singapore,Onsite,2,3,Bachelor,1,0,1,0,0,111659.0,10,2020,Low,3
212,213,Data Engineer,Enterprise,E-commerce,UK,Remote,1,13,Bachelor,1,1,1,1,0,75392.0,3,2023,High,7
213,214,Business Analyst,Enterprise,Healthcare,UK,Remote,2,10,PhD,0,0,0,1,1,95141.0,4,2024,Medium,6
214,215,Data Engineer,Enterprise,Retail,Australia,Onsite,2,3,PhD,0,0,1,1,1,111750.0,6,2020,High,6
215,216,Data Analyst,Medium,Retail,UK,Hybrid,3,11,Bachelor,1,0,0,1,0,111531.0,3,2026,High,9
216,217,AI Engineer,Medium,Education,Canada,Remote,1,8,Master,1,0,1,1,0,116762.0,9,2022,High,5
217,218,Data Engineer,Medium,Finance,Germany,Onsite,2,12,Bachelor,1,1,0,1,0,92183.0,1,2025,High,7
218,219,AI Engineer,Enterprise,Retail,Australia,Hybrid,1,4,PhD,0,1,1,0,0,107156.0,9,2024,Low,1
219,220,Data Scientist,MNC,Retail,USA,Hybrid,1,6,Bachelor,0,1,1,1,1,111748.0,6,2024,High,9
220,221,Data Analyst,Medium,Technology,USA,Remote,3,6,PhD,1,1,1,1,1,135193.0,8,2021,High,3
